names,science score,history score
Lance Russell,4.06,3.4
Henry Rogers,4.24,5.3
Kelly Summers,4.66,6.1
Ray Juul,4.6,3.7
Donald Greenberg,3.16,3.3
Audrey Love,3.76,6.2
Rodrick Rasch,4.84,5.7
Christopher Martinez,5.44,5.9
Alexander Dillon,5.8,5
James Piper,4.78,4.2
Karen Honea,4.42,4.2
Stephen Broenneke,3.22,3.5
James Daniel,4.48,5.8
Thomas Watson,4.06,4.3
Katrina Wilcox,5.8,4.5
Fallon Simson,3.64,3.8
Scott Mercer,3.82,4.1
Larry Werts,4.12,4.6
Anthony Bommarito,5.08,4.6
Thomas Kent,5.8,4.6
Pamela Tanguay,3.76,4.8
Jacqueline Akers,3.7,4.1
John Schoolfield,4.66,4.6
Frederick Brunet,2.92,3.9
Dawn Tamborlane,5.26,4.5
Virginia Blubaugh,3.52,4.8
Gary Ely,5.8,5.8
John Ratcliff,3.22,4.1
Martha Johnson,3.58,4.5
Janine Taylor,4.84,4.9
Jamie Jackson,5.68,4.7
Kathryn Dale,3.94,5.5
Agnes Dobbs,4.9,5.9
Linda Lamp,4.06,5.7
George Mooney,4.3,5.3
Lauren Warren,2.8,3.4
Cheryl Leonard,6.34,6
Julian Burke,4.18,5.4
Jonathan Calcote,3.46,3.5
May Kelly,3.64,4.2
Carol Salinas,3.88,4.9
Julie Smith,6.28,5.4
Barbra Wade,4.78,4.6
Bruce Tang,4.72,4.4
Bobby Lloyd,3.4,3.6
Marie Mcgovern,2.92,3.5
Krystal Ford,4.48,5.2
Danny Goodyear,6.28,6.1
Michael Bashaw,5.44,4.7
Molly House,4.54,5.4
Joyce Lamarche,3.46,3.6
Sarah Defazio,4.12,5.1
Richard Christiansen,4.06,4.4
Mack Gilliland,3.82,3.2
Michael Reel,3.7,3
Darlene Owsley,5.38,4.8
Melissa Flores,4.78,4.3
Rita Courtney,2.5,3.8
Harry Berry,5.86,5.4
Darryl Ruble,5.62,4.9
Ashley Bradburn,4.18,4.7
John Ponce,4.66,5
Santiago Luther,5.14,4.2
Stanley Schroder,4.18,5.2
Cameron Estrada,5.08,5.4
Allen Schwarz,4,4.6
Patricia Farias,4.9,4.1
James Verhaag,4.24,4.7
Sergio Littlejohn,5.02,4
Jorge Apana,3.46,3.5
Jeffrey Bostrom,4.36,4.1
Dustin Henry,2.92,2.9
Brandon Palmer,6.4,6.2
Jason Keck,5.32,5.7
Emory Kelley,4,3.9
Coleen Stough,4.18,5
Mitchell Fisher,4.84,5.1
Evangelina Hahn,5.44,5.5
Aubrey Thompson,4.72,5
Zachary Glenn,6.94,5.7
Phillip Marin,3.1,3.8
Carmelia Solis,3.52,4.4
Carolyn Webley,3.64,3.4
Janet Housel,4.48,4.2
David Moya,4.54,4.2
David Haffner,3.76,4.3
Judith Forker,4.24,4.6
Virginia Sievers,3.46,4.1
David Osteen,4.78,4.6
Marlene Sullivan,5.62,4.9
Corey Brown,5.44,4
Jose Walker,3.64,4.4
Fannie Sleeper,4.36,3.7
Jacqueline Holton,3.76,5.3
Marie Crate,5.02,6.2
Doris Arujo,3.94,4.9
Martha Sova,3.04,3.5
Diana Costa,3.16,2.9
Nicole Nesbitt,4.9,5.9
Jeffery Wiedmann,3.88,3.6
John Gunter,2.14,2
Charles Kong,5.38,5
Bertha Nelson,2.68,4
Edward Hohn,5.26,3.9
Arthur Johnson,3.22,2.8
Andrew Baker,4.72,3.7
David Hooker,4.72,5.2
Judith Foster,5.98,6
Jackie Moons,3.88,4.7
Howard Parham,4.6,4.4
Antonio Pelaez,3.64,3.4
Hazel Posey,2.26,3.1
Jean Tiscareno,2.68,4.3
Vincent Tucker,3.76,3.9
Ana Rodriguez,4.24,4.1
Bonnie Ramos,5.14,4.2
Stuart Stanford,4.18,4
Franklin Hawkins,5.74,4.9
Anne Scheer,4,4.4
Harold Ackerson,4.72,4.7
Kim Stallard,4.18,5.5
Darrell Xiong,4.12,4.6
Michael Diaz,5.68,4.1
Kimberly Bradford,3.16,3.7
Mark Lewis,4.96,4.1
Judith Mckay,4,5.2
Dawn Cummings,2.92,4.5
Judy Schwantes,4.18,4
Jane Larson,3.88,5.3
Gerald Wilson,4,4.7
Pamela Scott,3.52,4.2
Patrick Watson,4.54,3.6
Cynthia Sisk,5.8,5.3
Tammy Patterson,4.12,4.3
Mark Oconnor,6.1,4.5
Jennifer Phillips,4.12,3.8
Wendy Gunnell,2.62,2.4
Joseph Alfaro,3.82,4.6
William Barich,3.64,4.5
Jonathan Pearson,4.3,4.5
Ralph Cleveland,4.24,4.2
Leona Cohen,3.34,3.7
Sheryl Johnson,5.38,5.5
Ned Burke,6.04,4.2
Robin Schiffer,3.7,5.4
Donald Dunnings,4.06,4.6
Terri Motley,4.9,5.7
Dolores Reddy,3.46,3.9
Evan Smith,2.92,3.3
Suzanne Trosclair,4.84,6.4
Ann Polston,5.56,5
Sue Gorman,5.26,6
David Dunham,4.12,4.8
Karen Wagaman,5.8,4.6
Garth Zayas,6.22,7
Eric Acosta,5.74,5.4
Julie Watkins,3.04,3.9
Emma Fussell,3.28,2.8
Theresa White,5.02,5.1
Thelma Kabat,4.06,4.5
Tanya Freeman,4.06,5.7
Tracy Varley,4.72,4.8
Nathan Mewborn,5.38,5.2
George Lindsay,4.48,4.2
Renee Worley,4.66,3.9
William Sakkinen,4.18,3.8
William Austin,4.42,3.3
Wendy Freel,4.9,5
Joseph Rains,3.28,3.2
Katharine Kellum,3.4,4.6
Sheila Carboni,6.1,5.8
Steven Jackson,4.96,4.8
Edward Fields,3.88,4.5
Aimee Tamayo,3.46,3.9
Carl Caruthers,3.52,2.8
Shirley Wilson,3.34,4.9
Maryann Russell,5.2,5.8
Nancy Bassett,3.88,4.2
Anna Mascia,3.64,5.4
Richard Zayas,4.48,4.1
Ashley Mcray,4.42,4.8
Leona Martinez,3.76,4.4
Gary Hunter,5.14,5.5
Leann Widrick,4.78,5.3
David Lemke,5.02,4.5
Alan Harper,5.26,3.8
Tom Perez,4.78,4.2
Judith Lindsay,4.06,4
Joe Thomas,6.04,4.5
Eric Nunes,4.78,4.1
Louis Mckinzie,4.06,4.1
Samuel Low,5.08,3.8
Gregory Fernandez,3.7,4
Susan Cook,4.9,6.6
Sarah Mcbride,3.7,4.1
Betty Ellis,3.52,3.8
Sarah Adu,4.54,5.6
Michael Gore,2.92,3.1
Kristie Mccarthy,4.3,3.8
James Hughey,5.62,4.5
Dwight Zapata,3.88,4.8
Steven Hacker,3.7,3.5
Thomas Rabb,4.66,3.6
Dan Atchley,4.42,4.6
Joyce Jennings,4.66,4.9
Darron Allen,4.24,4.4
Quiana Rohrbach,2.92,3.8
Jerome Herring,4.06,4.6
William Gebhard,4,3.9
William Tang,4.12,4.7
Michael King,4.6,4.2
Jeffrey Korn,5.2,4
Edward Lee,5.26,5.2
Karolyn Hollingsworth,4.18,5.4
Robin Flores,4.72,5.4
Gladys Kennedy,3.82,5.4
Rosemary Pratt,5.38,6
Kevin Ibrahim,4.78,4.4
Collette Williams,5.02,4.1
Richard Lindenbaum,5.14,3.8
Daniel Cartwright,5.62,5.4
Tom Sastre,3.52,3.2
Bobby Labounty,4.36,4.9
Amanda Barker,4.06,5.1
Olivia Papp,5.8,5.4
Carmen Tenery,4.12,5.6
Steven Marriot,4.12,3.4
Kelly Greer,3.82,4.7
Walter Simmons,3.22,3.4
Sara Kochan,5.26,4.7
Larry Torres,3.82,3.9
Elizabeth Beasley,7,5.2
Charles Dearing,5.32,4.1
David Davis,3.52,3.8
Michael Gaccione,3.58,4.2
Maude Greco,4.36,3.9
Katharine Martinez,5.14,6.4
Ronald Niles,4.12,3.8
Ulrike Davidson,4.48,4.7
Marina Smith,2.56,2.5
Louis Christopher,4.42,3.8
Jennie Ferguson,5.14,5.2
Robert Beard,5.32,4.6
Jessica Salas,4.48,5.6
Vanessa Welch,3.64,3.9
Ann Cain,4.24,5.6
Nancy Sumler,4.54,4.2
Bette Williams,5.32,4.8
Ruth Bolduc,5.26,5.1
Jon Norris,5.56,3.6
Shelby Flores,4.84,4.3
Kimberly Vega,3.94,4.5
Joe Cooper,5.08,4.8
Donald Durbin,4.06,4
Bambi Dyer,3.46,3.8
Joshua Davis,3.82,3.9
Luis Lichty,3.82,3.2
Lynn Hovey,3.64,4.1
Gerald Brannon,4.78,4.1
Ivan King,3.52,3.5
Rebecca Hammond,4.24,5
John Lopez,3.64,3.2
George Howard,4.3,5.9
Anita Hill,3.7,4.6
Nancy Mabery,3.64,4.5
Arlene Calhoun,5.44,5
Lindsay Miller,4.84,5.8
Gloria Bradford,4.24,4.5
Thomas Whitehead,4.24,4.5
Catalina Brooks,3.22,3
Melissa Hughes,4.54,5.7
Mary Hahn,4.54,4.3
Henry Mcgowen,4.18,4
Stella Stephens,4.54,4.3
Monica Duggins,5.5,5.7
Scott Price,4.78,3.6
Tammi Aline,5.56,4.7
Lisa Watters,3.16,3.8
Annie Roeder,5.92,5.9
James Lydon,4.66,4.8
Robert Wallace,3.64,3.8
James Brooks,4.3,4.7
Marguerite Ramos,5.08,6.5
Donald Griffin,4.18,4.4
Andrew Bussell,4.06,4
Michael Dudas,4.3,3.9
Laurie Carter,3.58,4.3
Beatrice Aragon,4.18,6.8
Pansy Kelly,4.6,6.2
Lynda Stotts,5.44,5.8
Diana Bertran,4.96,4.1
Audrey Darby,3.76,5.7
Anastasia Starks,4.18,5.2
Charles Smith,3.94,3.6
Patricia Harrell,4.78,6.2
David Fisk,4.72,3.8
Stanley Denny,3.58,4.5
Adam Romero,3.52,3.2
Matthew Aucoin,4.24,3.9
Ira Mercer,4.36,4.3
Lorena Reed,2.68,3.9
Paula Barriere,2.74,3
Tina Spillman,4.72,4.1
Mary Kovac,4.24,3.8
Susan Cuevas,3.82,3.3
Noe Talbot,3.94,3.6
Sherri Turner,4.3,4.7
David Dupree,4.06,4.3
Sonya Porter,4.54,5
Thomas Ronzoni,4.06,3.9
Autumn Miller,3.7,3.8
Fred Jaeger,5.08,4.6
Ronald Coria,5.62,6.5
Todd Bernard,4.6,4.3
Frankie Malan,5.74,5.4
Pura Ross,5.86,5.6
Anna Cotman,5.92,5
Camille Rodrigue,4.06,4.8
Matthew Thompson,4.72,5.5
Bonnie Williams,6.52,5.8
Timothy Long,5.32,4.6
Haydee Kunkel,4.72,4.2
William Novoa,5.26,4.5
Joseph Agustin,5.26,5.1
Anthony Pedigo,5.68,4.8
Ann Pence,2.92,3
Jose Rogers,5.62,4.7
Mark Spicer,3.52,3.7
Sofia Williams,2.5,3.3
Shawn Frank,4.3,5.3
Robert Twitty,4.66,4.6
Jessica Martin,3.22,4.8
Edward Sullivan,4.06,3.8
Emily King,5.44,5
Heather Cunningham,4.78,4.6
Joseph Dean,6.76,6.4
Willie Nicholson,4.78,4.8
Anthony Latouche,3.58,3.4
Kermit Gates,3.28,2.8
Tosha Benson,6.52,5.2
Doris Sandiford,4.66,4.8
Troy Kittleson,4.78,3.9
Evan Ammons,4.24,3.9
Leon Patton,4.36,5.5
Frank Shaffer,5.86,5.6
Mindi Cruz,4.18,3.6
Caroline Atchison,3.4,3.8
Stacy Wickman,4.54,5.4
Morris Johnson,3.4,4.3
John Johnson,3.52,3.8
Emily Smith,5.86,4.8
Janet Hamer,3.28,4.4
Erica Maynard,3.52,4.7
Linda Michael,4.36,5.1
Helen Pince,4.18,4.3
Marcia York,3.64,4.5
Chanel Payne,5.38,5
Audrey Mcdonald,5.14,4.7
Jennie Blackwood,4.12,4.6
Micki Banks,4.3,4.9
Ashley Atkinson,3.34,3.6
Stephanie Yocum,3.88,4.1
Maggie Rugg,3.88,4.2
Eric Mitchell,4.12,4.4
Richard Laughlin,3.94,4.7
James Walker,4.24,4.7
Brandi Fisher,4.06,4.2
Angie Laskoski,4.84,6.4
Mary Trager,3.34,5.3
Richard Guercio,2.8,2.3
Sam Barnette,3.82,3.9
Christine Everhart,4.3,4.2
Monica Howington,4.48,5.9
Alyssa Mcgee,3.58,4.2
Amy Sieving,2.74,2.4
Joann Liesmann,4.6,5.2
Stanley Warren,3.88,4.1
Charles Herandez,4.48,6.3
Alfonzo Kellar,5.5,4.9
Lorraine Carter,4.54,6
Emilia Porat,3.4,3.4
Geneva Arnold,3.88,4.5
Maria Holscher,4.12,4.4
Terry Pulcher,4.72,4.6
Kathryn White,4.48,3.5
Thomas Simmons,6.64,4.8
Aletha Bonds,4.12,5.6
Gloria Gambrell,4.9,4.9
Rosemary Oliveros,4.6,3.9
Theresa Visvardis,2.74,3.2
Alfred Penn,6.28,5.7
Paul Hyder,6.7,4.4
Jose Wheeler,4.9,4.1
Carrie Robinson,2.68,3.9
David Padilla,4.3,3.6
Christopher Emmons,3.4,4.1
Raymond Stuart,5.8,5
Laura Hunter,4.66,3.8
Robert Morrison,5.8,6.8
Jimmy Jones,3.88,5.2
Aaron Shelly,3.88,3.9
Richard Harden,3.94,3.4
Shirley Ybanez,3.34,3.1
Darryl Ward,3.76,4.8
Charles Irizarry,4.78,3.5
Faye Schatz,4.12,4.1
Christine Cruson,4.6,4.7
James Cambron,5.02,6
Harold Kakos,5.26,5.4
Maribel Gates,3.76,4.8
Kathy Edwards,4.84,4.9
Norman Reed,4.6,5.6
Kristy Glass,5.56,4.6
Christopher Kilkenny,2.92,3.8
Gloria Ocasio,4.96,4.7
Eileen Parra,4.42,4.4
Bonnie Rodriguez,4.06,4.3
Paul Smith,4.78,4.1
Debra Fannin,4.9,5.9
Louise Romero,3.46,5.2
Terry Wingerd,4.06,3.6
Samantha Devore,3.1,3.5
Doris Bridgewater,3.88,5.7
Oscar Markow,3.4,4
Amanda Perez,4.66,5.3
Carmen Simcoe,4.54,5.6
Vivian Elliott,4.48,4.4
Brenda Kitchin,4.9,4.8
Irma Shedd,4.72,4.2
Charles Hopson,4.18,4.6
Jose Hines,5.14,4.2
Carla Mendoza,3.58,4.6
John Echols,5.86,5.7
Charles Suggs,4.54,5.6
Brian Young,4.48,3.8
Lorene Hall,4.3,5.3
Donna Duarte,4.12,5.1
William Gambino,5.8,3.6
Alexis Rosenberg,3.1,4.6
Susan Palmo,4.36,4.5
Nicole Obrien,5.62,6.1
Donald Chestnut,4.9,5
Greg Westerberg,5.32,4
Crystal Smith,4.12,5.1
Weldon Auston,4.12,3.4
Ma Smith,4.3,5.2
Kayla Lopez,3.7,5.5
Shannon Zamarripa,5.14,4.2
Rosa Redding,3.4,4.8
Julie Lopez,4.48,4.7
Viki Fraser,5.2,4.9
Richard Brasure,4.36,5
Dale Sylvain,4.78,4.7
Fannie Hindman,3.76,4.5
Duane Baisley,3.52,5.1
Andrew Butler,3.94,3.3
Flossie Streeter,2.38,3.4
Frank Moran,3.94,3.8
Ana Loredo,4.9,5.2
Andrew Bledsoe,5.08,4.2
Thomas Schweitzer,5.14,4.7
Travis Shoun,3.22,4.5
Norman Arnold,6.58,5.9
Heather Banks,3.64,3.5
Willie Neff,4.48,4.6
Marina Zeigler,4.54,4.1
Kimberly Moberg,5.62,4.7
Odette Carter,3.64,4.4
Sherri Todd,5.74,5.3
Carol Miller,4.6,4.4
Betty Buntin,4.18,5.3
Anna Larios,4.06,5.2
Antonio Evans,4.96,4.6
Lisa Forry,5.74,5.4
Rebecca Dalton,4.06,4.2
Kenneth Robertson,5.68,5.5
Lynne Rodgers,3.64,3.7
Sheron Luzar,3.46,3.6
Matthew Harris,4.3,4.5
Gerald Brunner,3.16,2.4
Chris Spitler,4.12,3.5
Edmond Lerner,5.8,5.7
Frances Johnson,2.74,4.7
Walter Ortiz,5.98,6
Marilyn Provino,5.8,6.1
Angela Cressey,5.08,7
Peter Perez,4.36,4.9
Michelle Gonzales,3.52,4.8
Marybeth Mazzone,5.56,5.5
David Lafave,4.06,4.7
Loretta Velez,6.76,5
Carolina White,5.56,4.6
Edward Lowman,5.86,5.4
Allison Tankersley,3.94,5.3
Richard Yoakum,3.28,3.5
Kimberly Ross,4.06,5.3
Michael Mederos,3.4,3
James Johnson,3.52,2.8
Phillip Powell,4.84,4.6
Barbara Otto,4.12,4.6
Jason Throneberry,3.82,3.1
Eileen Gray,4.06,5.4
Richard Garr,3.82,2.9
Teresa Yanez,3.82,5.6
Charles Vaughan,3.94,2.9
Ernestine Kizer,4.6,6.3
Michael Mcdonnell,3.94,3.8
Carmen Tyson,3.52,4.5
Robert Byrd,3.76,4.4
Clarence Querry,5.38,5.7
Lucy Thompson,3.82,4.2
Christopher Barnett,4.84,4.4
Victor Turner,3.88,4.6
James Deluca,5.8,5.4
Florencia Morrison,2.74,4.4
Lucille Stanphill,5.32,6
Nicole Osuna,3.46,5.4
Michael Hughes,4.3,4.3
Daniel Adams,4.42,5.7
Richard Young,4.72,4.2
Jeff Carlson,4.72,3.7
Robin Ahmed,3.7,3.9
Leon Shipley,5.68,5.5
Thomas Hochmuth,4.36,5.1
James Eury,4.24,4.5
Shane Polite,4.78,5.2
Mollie Vasquez,5.62,5.9
Raymond Wiggins,3.76,3.6
Tracy Fowler,5.02,5
Rodney Torres,4.3,3.4
Alan Roll,4.78,3.9
Diane Preister,4.12,3.8
Riley Cambell,4.3,5.2
Sharon Roberts,4.18,4.5
Kelly Bowar,2.98,3.8
Terry Davis,4.72,4.9
Roberta Fravel,4.72,3.6
Christopher Thornburg,3.88,4.8
Ella Russell,4.06,5.3
Kari Roth,3.76,5
Oliver Seldon,5.56,4
Karen Flye,3.82,4
Richard Stackhouse,3.4,3.9
Jonathan Moser,3.16,3.9
Rodney Guerrera,5.5,4.5
Julia Nicole,3.46,5
Shirley Damon,4.72,5.7
Irving Wheeler,4.54,4.9
Cheryl Patel,3.04,3.8
Elsa Hyman,4.12,4.9
Christina Cullins,3.1,3.1
Jody Pond,4.84,4.3
Ronald Mason,4.9,4.6
Deborah Ladner,3.46,3.7
Jeanette Carodine,5.14,5.9
Rachel Breland,4.18,4.6
Esther Riebe,4.12,3.5
Benjamin Finch,6.46,5.4
Alicia Ratliff,2.92,3.4
Jacqueline Mayrant,5.32,4.3
Patricia Briney,2.02,2.6
Logan Camp,3.82,4.5
Kimberly Routzahn,3.46,3.7
Marjorie Brown,3.28,3.6
Mary Levy,4.24,3.8
Aaron Oakden,3.76,4.6
Todd Price,4.72,5
Arlene Seymour,2.98,4.1
Linda Odonnell,3.34,5.1
Milton Chaput,4.36,3.9
Karen Hankinson,5.2,5.5
Eddie Strom,4.72,3.9
Valarie Trujillo,3.76,4.3
Richard Anderson,4.6,4.9
John Greenway,5.08,5.8
Eleanor Bond,4.6,6.6
Elizabeth Quintero,5.38,6.1
Linda Crowder,5.38,5.6
Morris Mcfaddin,5.02,5.4
Helen Alexander,4.06,4.1
Kelle Lanterman,3.46,3.2
Mark Wilson,5.86,4.2
Jose Dunagan,3.82,4.2
Gerald Gramham,3.7,2.3
Eric Baldwin,3.16,3.3
Laree Keene,3.22,4.1
Michael Cooney,5.68,5.5
Lavera Lowrie,4.84,5.8
Wayne Wilson,6.64,4.6
Donita Hill,3.16,3.8
Malcolm Sanzotta,3.52,3.9
Anna Johnson,3.52,4.5
Karl Dietrich,4.66,6.5
Tanya Macinnes,6.1,5.9
Maria Murphy,4.72,5.9
Robert Dickerson,3.64,3.5
Marion Murdy,3.94,6.2
Jennifer Koczera,3.88,3.8
Brent Sollenberger,3.94,4.2
Kathleen Taylor,3.64,4.7
Ashley Church,4.12,5.1
Nancy Mccormick,5.14,6.2
Lance Santana,4.66,3.3
Brandi Adams,4.66,3.5
Julia Hagan,4.96,5.1
Anthony Casey,3.64,4.2
Stephanie Jun,4.18,4.4
Travis Burkey,4.48,3.1
Maria Caballero,4.24,3.7
Anthony Murphy,4.48,4.5
Amanda Terrell,5.02,5.9
Kenneth Armendariz,4.48,3.7
Anna Lauterbach,3.76,5.2
Dana Mojica,3.34,3.2
Ronald Wilson,3.64,4.1
Wanda Russell,1.96,3.6
Steven Maness,4.06,5.6
Angela Atterberry,2.92,3.7
Larry Maldonado,6.4,4.6
Dennis Campbell,4.78,6.1
Russell Newlin,4.06,3.9
Virginia Griest,3.82,4.5
David Carnagey,5.32,4.6
Stephen Boers,5.26,4.6
Lessie Thompson,3.88,4.7
Wanda Hardin,6.22,5.6
Willie Gilbert,5.38,3.8
William Ng,3.58,4.5
Jeanine Diaz,6.82,5.7
Darryl Skinner,4.6,3.9
Joanna Gardner,4.12,4.8
Matthew Freeman,3.76,3.1
Kenneth Pyles,5.14,5.4
Amy Cook,3.22,4.7
Elizabeth Crain,5.86,6.2
Johnathan Bishop,3.1,2.8
